SecOrder,PAR,Area,kGE,Arrival_ns,Required_ns,Setup_ns,Slack_ns,Crit_ns,Fmax_GHz,CyclesPerBlock,Th_Gbps,Th_per_kGE_Gbps_per_kGE,ThPerArea,TimingRpt,AreaRpt,Model_BaseCycles,Model_Rounds,Model_XORperBlock,Model_ge_um2_per_GE
1,17,30119.760404,20.916500280555557,0.97,0.97,0.03,0.0,0.7,1.0,33,3.878787878787879,0.18544153308446568,185.44153308446568,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,18,30644.280417,21.280750289583334,0.97,0.97,0.03,0.0,0.7,1.0,33,3.878787878787879,0.18226744010461407,182.26744010461408,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,19,31158.360425,21.63775029513889,0.99,0.99,0.01,0.0,0.7,1.0,33,3.878787878787879,0.17926022002663014,179.26022002663015,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,20,31653.720434,21.98175030138889,0.99,0.99,0.01,0.0,0.7,1.0,33,3.878787878787879,0.176454914900148,176.454914900148,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,21,32165.640444,22.337250308333335,0.97,0.97,0.03,0.0,0.7,1.0,33,3.878787878787879,0.1736466138511607,173.6466138511607,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,22,31948.560464,22.186500322222223,0.98,0.98,0.02,0.0,0.7,1.0,33,3.878787878787879,0.17482648558605007,174.82648558605007,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,23,32363.280474,22.474500329166666,0.98,0.98,0.02,0.0,0.7,1.0,33,3.878787878787879,0.1725861675222259,172.58616752222588,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,24,32850.720488,22.813000338888887,0.98,0.98,0.02,0.0,0.7,1.0,33,3.878787878787879,0.17002532859195127,170.02532859195128,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,25,33296.760498,23.122750345833335,0.98,0.98,0.02,0.0,0.7,1.0,33,3.878787878787879,0.16774768661924455,167.74768661924455,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,26,33784.20051,23.46125035416667,0.99,1.0,0.0,0.0,0.7,1.0,33,3.878787878787879,0.1653274152159164,165.3274152159164,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,27,34370.640541,23.868500375694445,0.99,1.0,0.0,0.0,0.7,1.0,33,3.878787878787879,0.16250655959675167,162.50655959675166,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,28,34696.800542,24.09500037638889,0.98,0.98,0.02,0.0,0.7,1.0,33,3.878787878787879,0.16097895074485125,160.97895074485123,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,29,35124.480557,24.392000386805556,0.99,0.99,0.01,0.0,0.7,1.0,33,3.878787878787879,0.15901885115113576,159.01885115113575,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,30,35605.440583,24.726000404861114,0.99,0.99,0.01,0.0,0.7,1.0,33,3.878787878787879,0.15687081676279968,156.87081676279968,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,31,36550.080603,25.382000418750003,0.97,0.97,0.03,0.0,0.7,1.0,33,3.878787878787879,0.1528164768259388,152.8164768259388,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,32,35347.680568,24.547000394444446,0.97,0.97,0.03,0.0,0.7,1.0,25,5.12,0.20857945646013737,208.57945646013738,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,1,26044.920214,18.086750148611113,0.99,0.99,0.01,0.0,0.78,1.0,193,0.6632124352331606,0.03666841360575155,36.66841360575155,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,2,28859.040208,20.041000144444443,0.98,0.98,0.02,0.0,0.78,1.0,105,1.2190476190476192,0.06082768376135913,60.827683761359125,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,3,29833.560235,20.717750163194445,0.98,0.98,0.02,0.0,0.78,1.0,81,1.5802469135802468,0.07627502509358335,76.27502509358335,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,4,28799.640271,19.999750188194444,0.99,0.99,0.01,0.0,0.78,1.0,65,1.9692307692307693,0.09846276831963517,98.46276831963517,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,5,30862.080279,21.43200019375,0.98,0.98,0.02,0.0,0.78,1.0,57,2.245614035087719,0.10477855612107474,104.77855612107474,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,6,32916.600279,22.858750193749998,0.99,0.99,0.01,0.0,0.78,1.0,49,2.6122448979591835,0.11427767816778624,114.27767816778623,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,7,32389.920332,22.493000230555555,0.98,0.98,0.02,0.0,0.78,1.0,49,2.6122448979591835,0.11613590322248725,116.13590322248724,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,8,32932.440339,22.869750235416667,0.98,0.98,0.02,0.0,0.78,1.0,41,3.1219512195121952,0.13651007061185405,136.51007061185405,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,9,35334.720343,24.538000238194446,0.99,0.99,0.01,0.0,0.78,1.0,41,3.1219512195121952,0.1272292439973468,127.22924399734681,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,10,34674.120397,24.079250275694445,0.98,0.98,0.02,0.0,0.78,1.0,41,3.1219512195121952,0.12965317373952825,129.65317373952826,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,11,36410.040404,25.284750280555556,0.97,0.98,0.02,0.0,0.78,1.0,33,3.878787878787879,0.15340423914610457,153.40423914610457,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,12,37274.040429,25.884750297916668,0.99,0.99,0.01,0.0,0.78,1.0,33,3.878787878787879,0.14984837922504754,149.84837922504755,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,13,38152.800446,26.495000309722222,0.97,0.97,0.03,0.0,0.78,1.0,33,3.878787878787879,0.14639697427610804,146.39697427610804,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,14,39089.520464,27.145500322222222,0.97,0.97,0.03,0.0,0.78,1.0,33,3.878787878787879,0.14288879677095406,142.88879677095406,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,15,39898.080476,27.70700033055556,0.99,0.99,0.01,0.0,0.78,1.0,33,3.878787878787879,0.13999306429827818,139.99306429827817,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,16,38062.800625,26.43250043402778,0.98,0.98,0.02,0.0,0.78,1.0,33,3.878787878787879,0.14674313118688295,146.74313118688295,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,17,40303.440562,27.988500390277782,0.97,0.97,0.03,0.0,0.78,1.0,33,3.878787878787879,0.13858505545853514,138.58505545853515,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,18,41061.240584,28.514750405555557,0.98,0.98,0.02,0.0,0.78,1.0,33,3.878787878787879,0.13602741821763134,136.02741821763135,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,19,41895.360615,29.094000427083333,0.97,0.97,0.03,0.0,0.78,1.0,33,3.878787878787879,0.13331916621466575,133.31916621466576,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,20,42606.00064,29.587500444444444,0.98,0.98,0.02,0.0,0.78,1.0,33,3.878787878787879,0.13109549034299,131.09549034299002,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,21,43392.600676,30.133750469444447,0.99,1.0,0.0,0.0,0.78,1.0,33,3.878787878787879,0.12871905482594875,128.71905482594875,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,22,43562.160713,30.251500495138888,0.98,0.98,0.02,0.0,0.78,1.0,25,5.12,0.1692478031237734,169.24780312377342,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,23,43788.960666,30.4090004625,0.98,0.98,0.02,0.0,1.0,1.0,25,,0.16837120333218186,168.37120333218186,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,24,43753.680702,30.3845004875,0.98,0.98,0.02,0.0,1.0,1.0,25,,0.16850696631021916,168.50696631021916,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
2,25,44134.200637,30.648750442361113,0.98,0.98,0.02,0.0,1.0,1.0,25,,0.16705411888255653,167.05411888255654,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
